       nan,       nan,       3.0,       nan
       nan,       nan,       3.0,       0.0
       nan,       nan,       4.0,       nan
       nan,       nan,       nan,       nan
       3.0,       nan,       nan,       0.0
       nan,       nan,       nan,       nan
       nan,       nan,       nan,       nan
       nan,       nan,       nan,       nan
       nan,       nan,       3.0,       nan
       nan,       nan,       nan,       nan
       3.0,       nan,       nan,       3.0
       nan,       nan,       nan,       0.0
